HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2458233.90713,2018-04-25.4126070,ba,1.65,99.990,99.990,99.990,99.990,99.990,V
2458236.68383,2018-04-28.1892126,bj,1.62,99.990,99.990,99.990,99.990,99.990,g
2458244.80384,2018-05-06.3089009,bf,1.45,99.990,99.990,99.990,99.990,99.990,V
2458245.77974,2018-05-07.2847578,be,1.50,99.990,99.990,99.990,99.990,99.990,V
2458254.95671,2018-05-16.4612306,bb,2.33,99.990,99.990,99.990,99.990,99.990,V
2458254.95799,2018-05-16.4625164,bb,2.32,99.990,99.990,99.990,99.990,99.990,V
2458254.95928,2018-05-16.4637987,ba,2.21,99.990,99.990,99.990,99.990,99.990,V
2458257.95377,2018-05-19.4581028,ba,1.64,99.990,99.990,99.990,99.990,99.990,V
2458263.92854,2018-05-25.4324701,bj,1.59,16.320,14.954,0.062,3.786,0.216,g
2458263.92976,2018-05-25.4336909,bj,1.65,16.218,15.103,0.078,3.304,0.237,g
2458263.93098,2018-05-25.4349092,bj,1.72,16.077,14.931,0.076,3.869,0.269,g
2458264.93149,2018-05-26.4353515,bj,1.53,16.186,14.952,0.070,3.794,0.244,g
2458264.93271,2018-05-26.4365748,bj,1.57,15.878,14.775,0.079,4.465,0.324,g
2458264.93393,2018-05-26.4377906,bj,1.63,15.952,15.070,0.097,3.405,0.302,g
2458266.92046,2018-05-28.424175,bj,1.61,99.990,99.990,99.990,99.990,99.990,g
2458266.92167,2018-05-28.4253891,bj,1.72,99.990,99.990,99.990,99.990,99.990,g
2458266.92290,2018-05-28.4266133,bj,1.67,99.990,99.990,99.990,99.990,99.990,g
2458270.90909,2018-06-01.4124953,bj,1.69,15.888,14.995,0.096,3.645,0.321,g
2458270.91032,2018-06-01.4137280,bj,1.66,15.803,14.858,0.092,4.137,0.347,g
2458270.91154,2018-06-01.4149429,bj,1.69,15.934,15.047,0.097,3.476,0.307,g
2458271.90898,2018-06-02.4123168,bj,1.59,16.204,14.883,0.065,4.047,0.240,g
2458271.91021,2018-06-02.4135371,bj,1.65,16.108,14.829,0.067,4.252,0.262,g
2458271.91142,2018-06-02.4147567,bj,1.57,16.032,14.850,0.074,4.169,0.281,g
2458274.66238,2018-06-05.1654836,bn,1.56,16.548,14.933,0.049,3.862,0.175,g
2458274.66375,2018-06-05.1668535,bn,1.54,16.378,14.979,0.060,3.703,0.204,g
2458274.66495,2018-06-05.1680581,bn,1.57,16.518,14.855,0.047,4.150,0.180,g
2458274.90155,2018-06-05.4046380,bj,1.71,16.335,15.002,0.064,3.623,0.213,g
2458274.90278,2018-06-05.4058650,bj,1.66,16.382,14.842,0.053,4.199,0.204,g
2458274.90399,2018-06-05.4070814,bj,1.65,16.316,14.928,0.061,3.880,0.216,g
2458275.67336,2018-06-06.1763809,bn,1.56,16.510,14.973,0.053,3.723,0.181,g
2458275.67456,2018-06-06.1775820,bn,1.54,16.441,14.926,0.054,3.887,0.193,g
2458275.67577,2018-06-06.1787936,bn,1.53,16.475,14.835,0.048,4.227,0.187,g
2458275.90160,2018-06-06.4046070,bj,1.51,99.990,99.990,99.990,99.990,99.990,g
2458275.90281,2018-06-06.4058195,bj,1.67,99.990,99.990,99.990,99.990,99.990,g
2458275.90404,2018-06-06.4070413,bj,1.64,99.990,99.990,99.990,99.990,99.990,g
2458281.09557,2018-06-11.5981418,bb,1.68,16.247,14.524,0.045,5.946,0.244,V
2458281.09685,2018-06-11.5994143,bb,1.68,16.170,14.530,0.048,5.915,0.262,V
2458281.09812,2018-06-11.6006936,bb,1.71,15.716,14.514,0.072,6.000,0.399,V
2458282.64991,2018-06-13.1523408,bn,1.66,16.787,14.942,0.040,3.828,0.140,g
2458282.65112,2018-06-13.1535475,bn,1.62,16.838,14.916,0.037,3.925,0.134,g
2458282.65235,2018-06-13.1547755,bn,1.65,16.897,14.905,0.035,3.965,0.127,g
2458284.89653,2018-06-15.3987600,bj,1.65,16.746,14.952,0.042,3.795,0.146,g
2458284.89775,2018-06-15.3999763,bj,1.70,16.790,14.939,0.040,3.840,0.140,g
2458284.89896,2018-06-15.4011935,bj,1.68,16.833,14.999,0.040,3.635,0.134,g
2458286.63400,2018-06-17.1360831,bn,1.74,16.519,14.967,0.052,3.740,0.180,g
2458286.63531,2018-06-17.1373848,bn,1.78,99.990,99.990,99.990,99.990,99.990,g
2458286.63653,2018-06-17.1386012,bn,1.77,16.504,14.880,0.049,4.053,0.182,g
2458290.62253,2018-06-21.1242415,bn,1.60,16.925,14.937,0.035,3.849,0.124,g
2458290.62379,2018-06-21.1254958,bn,1.57,16.919,14.931,0.035,3.869,0.124,g
2458290.62501,2018-06-21.1267126,bn,1.57,16.846,14.851,0.035,4.163,0.133,g
2458291.94342,2018-06-22.4450083,bj,1.70,16.288,14.955,0.064,3.784,0.222,g
2458291.94760,2018-06-22.4491875,bj,1.70,15.817,15.092,0.112,3.338,0.342,g
2458294.61021,2018-06-25.1115465,bn,1.52,15.725,15.217,0.137,2.971,0.373,g
2458294.61142,2018-06-25.1127603,bn,1.56,16.132,14.904,0.071,3.966,0.257,g
2458294.61264,2018-06-25.1139814,bn,1.57,16.001,14.996,0.087,3.644,0.289,g
2458295.08048,2018-06-25.5817695,bb,1.70,16.144,14.493,0.048,6.118,0.268,V
2458295.60800,2018-06-26.1092370,bn,1.61,99.990,99.990,99.990,99.990,99.990,g
2458295.60923,2018-06-26.1104655,bn,1.59,99.990,99.990,99.990,99.990,99.990,g
2458295.61043,2018-06-26.1116738,bn,1.62,99.990,99.990,99.990,99.990,99.990,g
2458295.86497,2018-06-26.3661932,bj,1.64,16.023,15.040,0.089,3.498,0.283,g
2458295.86620,2018-06-26.3674175,bj,1.59,16.119,15.029,0.080,3.533,0.259,g
2458295.86742,2018-06-26.3686358,bj,1.61,16.119,14.939,0.074,3.839,0.259,g
2458296.60886,2018-06-27.1100012,bn,1.81,15.046,14.844,0.182,4.192,0.696,g
2458296.61025,2018-06-27.1113923,bn,1.83,14.907,99.990,99.990,2.968,0.791,g
2458296.61188,2018-06-27.1130226,bn,1.53,15.029,14.695,0.161,4.810,0.708,g
2458296.86165,2018-06-27.3627724,bj,1.66,15.937,14.758,0.074,4.538,0.307,g
2458296.86287,2018-06-27.3639896,bj,1.65,16.039,14.872,0.075,4.086,0.279,g
2458296.86408,2018-06-27.3652055,bj,1.59,15.894,14.923,0.090,3.898,0.319,g
2458297.08620,2018-06-27.5872959,bb,1.71,15.571,14.488,0.081,6.148,0.454,V
2458297.08747,2018-06-27.5885660,bb,1.69,15.699,14.265,0.058,7.549,0.404,V
2458297.08874,2018-06-27.5898394,bb,1.65,15.694,14.371,0.065,6.849,0.406,V
2458297.60496,2018-06-28.1060115,bn,1.61,15.120,99.990,99.990,2.856,0.650,g
2458297.60618,2018-06-28.1072244,bn,2.13,15.189,15.041,0.191,3.495,0.610,g
2458297.60739,2018-06-28.1084432,bn,1.52,15.128,99.990,99.990,3.163,0.646,g
2458298.60304,2018-06-29.1039903,bn,1.61,15.881,14.957,0.094,3.776,0.323,g
2458298.60426,2018-06-29.1052199,bn,1.55,15.824,15.040,0.106,3.500,0.340,g
2458298.60551,2018-06-29.1064563,bn,1.51,15.838,14.850,0.088,4.172,0.336,g
2458299.06993,2018-06-29.5708386,bb,1.69,15.692,14.516,0.074,5.993,0.406,V
2458299.07121,2018-06-29.5721207,bb,1.67,15.631,14.625,0.087,5.421,0.430,V
2458299.07248,2018-06-29.5733913,bb,1.64,15.608,14.476,0.077,6.212,0.439,V
2458299.93465,2018-06-30.435475,bj,2.04,15.576,14.917,0.119,3.918,0.428,g
2458299.93588,2018-06-30.4367085,bj,2.04,15.500,14.808,0.116,4.333,0.459,g
2458299.93710,2018-06-30.4379260,bj,2.08,15.138,14.792,0.159,4.399,0.640,g
2458301.04408,2018-07-01.5447965,bb,1.71,15.661,14.554,0.079,5.787,0.418,V
2458301.04535,2018-07-01.5460754,bb,1.74,15.660,14.648,0.086,5.308,0.418,V
2458301.04664,2018-07-01.5473565,bb,1.75,15.759,14.623,0.077,5.427,0.382,V
2458301.85567,2018-07-02.3563098,bj,1.73,16.119,15.063,0.083,3.429,0.259,g
2458301.85689,2018-07-02.3575322,bj,1.62,16.033,14.892,0.077,4.011,0.281,g
2458301.85811,2018-07-02.3587488,bj,1.97,16.015,14.982,0.085,3.691,0.285,g
2458303.58839,2018-07-04.0888593,bn,1.57,16.347,14.922,0.059,3.902,0.210,g
2458303.58961,2018-07-04.0900841,bn,1.58,16.258,14.988,0.068,3.673,0.228,g
2458303.59083,2018-07-04.0913055,bn,1.55,16.238,14.862,0.062,4.122,0.232,g
2458308.57454,2018-07-09.0745325,bn,1.53,16.807,14.914,0.038,3.933,0.138,g
2458308.57578,2018-07-09.0757737,bn,1.54,16.787,14.965,0.041,3.749,0.140,g
2458308.57699,2018-07-09.0769809,bn,1.54,16.783,14.986,0.042,3.677,0.141,g
2458309.09479,2018-07-09.5947262,bb,1.77,16.281,14.508,0.043,6.035,0.236,V
2458309.09607,2018-07-09.5960076,bb,1.76,16.299,14.476,0.041,6.216,0.232,V
2458309.09734,2018-07-09.5972811,bb,1.75,16.224,14.487,0.044,6.154,0.249,V
2458309.86980,2018-07-10.3696593,bj,1.78,16.831,14.967,0.039,3.744,0.135,g
2458309.87101,2018-07-10.3708763,bj,1.77,16.791,14.937,0.040,3.850,0.140,g
2458309.87223,2018-07-10.3720951,bj,1.74,16.754,14.857,0.038,4.144,0.145,g
2458314.07401,2018-07-14.5734702,bb,1.75,16.254,14.407,0.040,6.627,0.242,V
2458314.07528,2018-07-14.5747410,bb,1.75,16.242,14.498,0.044,6.094,0.245,V
2458314.07656,2018-07-14.5760181,bb,1.97,16.282,14.429,0.040,6.487,0.236,V
2458314.82729,2018-07-15.3266758,bf,1.61,15.875,14.462,0.060,6.297,0.343,V
2458314.82856,2018-07-15.3279445,bf,1.58,15.855,14.602,0.069,5.538,0.349,V
2458314.82982,2018-07-15.3292082,bf,1.62,15.978,14.561,0.059,5.748,0.312,V
2458315.55620,2018-07-16.0555126,bn,1.61,16.912,14.909,0.035,3.949,0.125,g
2458315.55760,2018-07-16.0569152,bn,1.64,99.990,99.990,99.990,99.990,99.990,g
2458315.55883,2018-07-16.0581491,bn,1.60,16.892,14.972,0.037,3.726,0.128,g
2458315.84988,2018-07-16.3491637,bf,1.40,15.980,14.487,0.055,6.154,0.312,V
2458315.85114,2018-07-16.3504309,bf,1.37,15.561,14.639,0.094,5.349,0.458,V
